epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.33978,1.55185,2.66562,1.41194,0.00641,1,0.57966,0.33314,1.19437,2.82157,1.37232,4e-05,4e-05,4e-05
2,12.493,1.5013,2.71555,1.43242,0.00641,1,0.54855,0.28607,1.20517,2.81713,1.36837,9.901e-05,9.901e-05,9.901e-05
3,18.6569,1.2551,2.58884,1.33914,0.00641,1,0.84911,0.61108,0.78008,2.76303,1.00411,0.000156832,0.000156832,0.000156832
4,25.1477,0.97558,2.33157,1.12283,0.00641,1,0.96282,0.73477,0.68968,2.7312,0.93786,0.000213466,0.000213466,0.000213466
5,31.3579,0.95188,2.01452,1.12276,0.00641,1,0.94699,0.71395,0.70068,2.66497,0.97526,0.000268912,0.000268912,0.000268912
6,33.7556,0.8961,1.71937,1.11496,0.00641,1,0.94172,0.72108,0.74269,2.58751,1.04683,0.00032317,0.00032317,0.00032317
7,36.0932,0.95428,1.5757,1.15531,0.00641,1,0.95761,0.74206,0.7649,2.4801,1.06331,0.00037624,0.00037624,0.00037624
8,40.2098,0.85513,1.38119,1.11033,0.00641,1,0.96677,0.7495,0.74301,2.45257,1.03895,0.000428122,0.000428122,0.000428122
9,46.5449,0.96682,1.35861,1.17274,0.01435,1,0.95377,0.67038,0.88861,2.49497,1.08144,0.000478816,0.000478816,0.000478816
10,52.7933,1.00248,1.23018,1.19967,0.025,1,0.93974,0.62332,0.94559,2.51596,1.12449,0.000528322,0.000528322,0.000528322
11,59.1145,0.89683,1.11452,1.13969,1,0.44839,0.86139,0.52406,1.26111,2.68365,1.43945,0.00057664,0.00057664,0.00057664
12,65.4415,0.93084,1.16938,1.16495,1,0.50193,0.87616,0.59648,1.15941,2.52853,1.32785,0.00062377,0.00062377,0.00062377
13,71.6906,0.93661,1.11408,1.1614,0.9778,0.92,0.98389,0.71841,0.99915,1.79322,1.25541,0.000669712,0.000669712,0.000669712
